Status,class,category,fdc_id,data_type,description
,,,174673,sr_legacy_food,"Grapefruit, raw, pink and red, all areas"
,,,174674,sr_legacy_food,"Grapefruit, raw, pink and red, California and Arizona"
,,,174675,sr_legacy_food,"Grapefruit, raw, pink and red, Florida"
,,,174676,sr_legacy_food,"Grapefruit, raw, white, all areas"
,,,174677,sr_legacy_food,"Grapefruit, raw, white, California"
,,,173034,sr_legacy_food,"Grapefruit, raw, white, Florida"
,,,174682,sr_legacy_food,"Grapes, american type (slip skin), raw"
,,,173040,sr_legacy_food,"Grapes, muscadine, raw"
,,,1102665,survey_fndds_food,"Grapes, raw"
,,,174683,sr_legacy_food,"Grapes, red or green (European type, such as Thompson seedless), raw"
,,,1103337,survey_fndds_food,"Green beans, raw"
,,,1103366,survey_fndds_food,"Green peas, raw"
,,,173043,sr_legacy_food,"Groundcherries, (cape-gooseberries or poha), raw"
,,,1102666,survey_fndds_food,"Guava, raw"
,,,173044,sr_legacy_food,"Guavas, common, raw"
,,,173045,sr_legacy_food,"Guavas, strawberry, raw"
,,,167714,sr_legacy_food,"Hearts of palm, raw"
,,,1102669,survey_fndds_food,"Honeydew melon, raw"
,,,321358,foundation_food,"Hummus, commercial"
,,,175210,sr_legacy_food,"Hyacinth beans, mature seeds, raw"
,,,169234,sr_legacy_food,"Hyacinth-beans, immature seeds, raw"
,,,174687,sr_legacy_food,"Jackfruit, raw"
,,,168150,sr_legacy_food,"Java-plum, (jambolan), raw"
,,,169236,sr_legacy_food,"Jerusalem-artichokes, raw"
,,,169237,sr_legacy_food,"Jew's ear, (pepeao), raw"
,,,1103355,survey_fndds_food,"Jicama, raw"
,,,168151,sr_legacy_food,"Jujube, raw"
,,,168419,sr_legacy_food,"Jute, potherb, raw"
,,,326196,foundation_food,"Kale, frozen, cooked, boiled, drained, without salt"
,,,323505,foundation_food,"Kale, raw"
,,,1103116,survey_fndds_food,"Kale, raw"
,,,168421,sr_legacy_food,"Kale, raw"
,,,1102667,survey_fndds_food,"Kiwi fruit, raw"
,,,327046,foundation_food,"Kiwifruit, green, raw"
,,,168153,sr_legacy_food,"Kiwifruit, green, raw"
,,,168211,sr_legacy_food,"Kiwifruit, ZESPRI SunGold, raw"
,,,1103356,survey_fndds_food,"Kohlrabi, raw"
,,,168424,sr_legacy_food,"Kohlrabi, raw"
,,,1102593,survey_fndds_food,"Kumquat, raw"
,,,168154,sr_legacy_food,"Kumquats, raw"
,,,169244,sr_legacy_food,"Lambsquarters, raw"
,,,1103357,survey_fndds_food,"Leek, raw"
,,,169246,sr_legacy_food,"Leeks, (bulb and lower leaf-portion), raw"
,,,168573,sr_legacy_food,"Lemon grass (citronella), raw"
,,,167747,sr_legacy_food,"Lemon juice, raw"
,,,167749,sr_legacy_food,"Lemon peel, raw"
,,,1102594,survey_fndds_food,"Lemon, raw"
,,,167746,sr_legacy_food,"Lemons, raw, without peel"
,,,174284,sr_legacy_food,"Lentils, pink or red, raw"
,,,172420,sr_legacy_food,"Lentils, raw"
,,,168427,sr_legacy_food,"Lentils, sprouted, raw"
,,,1103360,survey_fndds_food,"Lettuce, arugula, raw"
,,,1103359,survey_fndds_food,"Lettuce, Boston, raw"
,,,168429,sr_legacy_food,"Lettuce, butterhead (includes boston and bibb types), raw"
,,,746769,foundation_food,"Lettuce, cos or romaine, raw"
,,,169247,sr_legacy_food,"Lettuce, cos or romaine, raw"
,,,169249,sr_legacy_food,"Lettuce, green leaf, raw"
,,,169248,sr_legacy_food,"Lettuce, iceberg (includes crisphead types), raw"
,,,1103358,survey_fndds_food,"Lettuce, raw"
,,,168431,sr_legacy_food,"Lettuce, red leaf, raw"
,,,168396,sr_legacy_food,"Lima beans, immature seeds, raw"
,,,174252,sr_legacy_food,"Lima beans, large, mature seeds, raw"
,,,174255,sr_legacy_food,"Lima beans, thin seeded (baby), mature seeds, raw"
,,,168156,sr_legacy_food,"Lime juice, raw"
,,,1102596,survey_fndds_food,"Lime, raw"
,,,168155,sr_legacy_food,"Limes, raw"
,,,169086,sr_legacy_food,"Litchis, raw"
,,,169089,sr_legacy_food,"Longans, raw"
,,,169908,sr_legacy_food,"Loquats, raw"
,,,169250,sr_legacy_food,"Lotus root, raw"
,,,172423,sr_legacy_food,"Lupins, mature seeds, raw"
,,,169909,sr_legacy_food,"Mammy-apple, (mamey), raw"
,,,1102670,survey_fndds_food,"Mango, raw"
,,,169910,sr_legacy_food,"Mangos, raw"
,,,746770,foundation_food,"Melons, cantaloupe, raw"
,,,169092,sr_legacy_food,"Melons, cantaloupe, raw"
,,,169093,sr_legacy_food,"Melons, casaba, raw"
,,,169911,sr_legacy_food,"Melons, honeydew, raw"
,,,746772,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
,,,746776,foundation_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
,,,746778,foundation_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
,,,746782,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D"
,,,1103361,survey_fndds_food,"Mixed salad greens, raw"
,,,172425,sr_legacy_food,"Mothbeans, mature seeds, raw"
,,,168432,sr_legacy_food,"Mountain yam, hawaii, raw"
,,,169913,sr_legacy_food,"Mulberries, raw"
,,,174256,sr_legacy_food,"Mung beans, mature seeds, raw"
,,,169957,sr_legacy_food,"Mung beans, mature seeds, sprouted, raw"
,,,174259,sr_legacy_food,"Mungo beans, mature seeds, raw"
,,,2003603,foundation_food,"Mushroom, beech"
,,,2003601,foundation_food,"Mushroom, crimini"
,,,2003600,foundation_food,"Mushroom, enoki"
,,,2003599,foundation_food,"Mushroom, king oyster"
,,,1999626,foundation_food,"Mushroom, lion's mane"
,,,2003602,foundation_food,"Mushroom, maitake"
,,,1999627,foundation_food,"Mushroom, oyster"
,,,2003604,foundation_food,"Mushroom, pioppini"
,,,2003598,foundation_food,"Mushroom, portabella"
,,,169376,sr_legacy_food,"Mushroom, white, exposed to ultraviolet light, raw"
,,,168557,sr_legacy_food,"Mushrooms, brown, italian, or crimini, exposed to ultraviolet light, raw"
,,,168434,sr_legacy_food,"Mushrooms, brown, italian, or crimini, raw"
,,,168422,sr_legacy_food,"Mushrooms, Chanterelle, raw"
,,,169382,sr_legacy_food,"Mushrooms, enoki, raw"
,,,169403,sr_legacy_food,"Mushrooms, maitake, raw"
,,,168423,sr_legacy_food,"Mushrooms, morel, raw"
,,,168580,sr_legacy_food,"Mushrooms, oyster, raw"
,,,170143,sr_legacy_food,"Mushrooms, portabella, exposed to ultraviolet light, raw"
,,,169255,sr_legacy_food,"Mushrooms, portabella, raw"
,,,1103362,survey_fndds_food,"Mushrooms, raw"
,,,1999628,foundation_food,"Mushrooms, shiitake"
,,,169242,sr_legacy_food,"Mushrooms, shiitake, raw"
,,,1999629,foundation_food,"Mushrooms, white button"
,,,169251,sr_legacy_food,"Mushrooms, white, raw"
,,,1103126,survey_fndds_food,"Mustard greens, raw"
,,,169256,sr_legacy_food,"Mustard greens, raw"
,,,168438,sr_legacy_food,"Mustard spinach, (tendergreen), raw"
,,,326698,foundation_food,"Mustard, prepared, yellow"
,,,1102673,survey_fndds_food,"Nectarine, raw"
,,,327357,foundation_food,"Nectarines, raw"
,,,169914,sr_legacy_food,"Nectarines, raw"
,,,168440,sr_legacy_food,"New Zealand spinach, raw"
,,,168571,sr_legacy_food,"Nopales, raw"
,,,170157,sr_legacy_food,"Nuts, acorns, raw"
,,,323294,foundation_food,"Nuts, almonds, dry roasted, with salt added"
,,,170162,sr_legacy_food,"Nuts, cashew nuts, raw"
,,,170164,sr_legacy_food,"Nuts, chestnuts, chinese, raw"
,,,170575,sr_legacy_food,"Nuts, chestnuts, european, raw, peeled"
,,,170574,sr_legacy_food,"Nuts, chestnuts, european, raw, unpeeled"
,,,169413,sr_legacy_food,"Nuts, chestnuts, japanese, raw"
,,,170580,sr_legacy_food,"Nuts, coconut cream, raw (liquid expressed from grated meat)"
,,,170169,sr_legacy_food,"Nuts, coconut meat, raw"
,,,170172,sr_legacy_food,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)"
,,,170584,sr_legacy_food,"Nuts, ginkgo nuts, raw"
,,,170178,sr_legacy_food,"Nuts, macadamia nuts, raw"
,,,170184,sr_legacy_food,"Nuts, pistachio nuts, raw"
,,,1101825,survey_fndds_food,"Oats, raw"
,,,169915,sr_legacy_food,"Oheloberries, raw"
,,,748278,foundation_food,"Oil, canola"
,,,330458,foundation_food,"Oil, coconut"
,,,748323,foundation_food,"Oil, corn"
,,,1750351,foundation_food,"Oil, olive, extra light"
,,,748608,foundation_food,"Oil, olive, extra virgin"
,,,1750348,foundation_food,"Oil, peanut"
,,,1750350,foundation_food,"Oil, safflower"
,,,748366,foundation_food,"Oil, soybean"
,,,1750349,foundation_food,"Oil, sunflower"
,,,169260,sr_legacy_food,"Okra, raw"
,,,332791,foundation_food,"Olives, green, Manzanilla, stuffed with pimiento"
,,,1103363,survey_fndds_food,"Onions, green, raw"
,,,1103364,survey_fndds_food,"Onions, raw"
,,,170000,sr_legacy_food,"Onions, raw"
,,,790577,foundation_food,"Onions, red, raw"
,,,170005,sr_legacy_food,"Onions, spring or scallions (includes tops and bulb), raw"
,,,170008,sr_legacy_food,"Onions, sweet, raw"
,,,170007,sr_legacy_food,"Onions, welsh, raw"
,,,1104962,foundation_food,"Onions, white, raw"
,,,790646,foundation_food,"Onions, yellow, raw"
,,,2003591,foundation_food,"Orange juice, no pulp, not fortified, from concentrate, refrigerated"
,,,2003597,foundation_food,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated"
,,,169098,sr_legacy_food,"Orange juice, raw (Includes foods for USDA's Food Distribution Program)"
,,,169103,sr_legacy_food,"Orange peel, raw"
,,,1102597,survey_fndds_food,"Orange, raw"
,,,169097,sr_legacy_food,"Oranges, raw, all commercial varieties"
,,,169916,sr_legacy_food,"Oranges, raw, California, valencias"
,,,169918,sr_legacy_food,"Oranges, raw, Florida"
,,,746771,foundation_food,"Oranges, raw, navels"
,,,169917,sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)"
,,,169919,sr_legacy_food,"Oranges, raw, with peel"
,,,1102674,survey_fndds_food,"Papaya, raw"
,,,169926,sr_legacy_food,"Papayas, raw"
,,,1103365,survey_fndds_food,"Parsley, raw"
,,,170417,sr_legacy_food,"Parsnips, raw"
,,,1102676,survey_fndds_food,"Passion fruit, raw"
,,,169109,sr_legacy_food,"Passion-fruit juice, purple, raw"
,,,169110,sr_legacy_food,"Passion-fruit juice, yellow, raw"
,,,169108,sr_legacy_food,"Passion-fruit, (granadilla), purple, raw"
,,,1102677,survey_fndds_food,"Peach, raw"
,,,325430,foundation_food,"Peaches, yellow, raw"
,,,169928,sr_legacy_food,"Peaches, yellow, raw"
,,,324860,foundation_food,"Peanut butter, smooth style, with salt"
,,,172430,sr_legacy_food,"Peanuts, all types, raw"
